config,method,use_cpt,compression_ratio,accuracy,f1_macro,latency_ms_mean,n
ea_cpt_0,ea,False,0.2,0.85,0.8455359901143034,558.8312084600011,100
ea_cpt_0,ea,False,0.4,0.86,0.8553121124431583,439.936846469999,100
ea_cpt_0,ea,False,0.6,0.87,0.867007672634271,444.24495058000053,100
ea_cpt_0,ea,False,0.8,0.85,0.8443821973233738,412.58263017999815,100
ea_cpt_1,ea,True,0.2,0.77,0.7335187116209014,382.5004623099983,100
ea_cpt_1,ea,True,0.4,0.79,0.7606837606837606,373.617740069999,100
ea_cpt_1,ea,True,0.6,0.84,0.8161764705882353,373.45024825999195,100
ea_cpt_1,ea,True,0.8,0.78,0.7428705002337541,368.0350232800005,100
kvzip_cpt_0,kvzip,False,0.2,0.85,0.8465473145780051,1932.53785192,100
kvzip_cpt_0,kvzip,False,0.4,0.84,0.8346424142207525,1933.4393585399835,100
kvzip_cpt_0,kvzip,False,0.6,0.88,0.8759818106655644,1961.077890230001,100
kvzip_cpt_0,kvzip,False,0.8,0.82,0.8164014687882497,1962.8229331699913,100
kvzip_cpt_1,kvzip,True,0.2,0.8,0.7702205882352942,1950.1582743900053,100
kvzip_cpt_1,kvzip,True,0.4,0.77,0.7287415968864253,1837.4949918000088,100
kvzip_cpt_1,kvzip,True,0.6,0.78,0.7472426470588236,1738.840008339985,100
kvzip_cpt_1,kvzip,True,0.8,0.79,0.7606837606837606,1731.5789523499823,100
