query_id,ratio,method,accuracy,f1_macro,n
10,0.2,ea,0.825,0.4389954337899543,120
10,0.2,kvzip,0.825,0.5218406593406593,120
10,0.5,ea,0.8333333333333334,0.5081682710107368,120
10,0.5,kvzip,0.7833333333333333,0.49439761880911837,120
10,0.8,ea,0.7916666666666666,0.5174304739522131,120
10,0.8,kvzip,0.8151260504201681,0.5676765558267236,119
11,0.2,ea,0.425,0.425,120
11,0.2,kvzip,0.425,0.425,120
11,0.5,ea,0.475,0.475,120
11,0.5,kvzip,0.39166666666666666,0.39166666666666666,120
11,0.8,ea,0.4166666666666667,0.4166666666666667,120
11,0.8,kvzip,0.453781512605042,0.453781512605042,119
12,0.2,ea,0.7983193277310925,0.7983193277310925,119
12,0.2,kvzip,0.6101694915254238,0.6101694915254238,118
12,0.5,ea,0.7142857142857143,0.7142857142857143,119
12,0.5,kvzip,0.6694915254237288,0.6694915254237288,118
12,0.8,ea,0.8666666666666667,0.8666666666666667,120
12,0.8,kvzip,0.6583333333333333,0.6583333333333333,120
