config,finch_enabled,use_cpt,accuracy,f1_macro,latency_ms_mean,n,compression_ratio
finch_0_cpt_0_r0.2,False,False,0.81,0.771607164322635,397.4135103700041,100,0.2
finch_0_cpt_0_r0.4,False,False,0.84,0.8015873015873016,412.9897904200015,100,0.4
finch_0_cpt_0_r0.6,False,False,0.84,0.8015873015873016,377.6558636100049,100,0.6
finch_0_cpt_0_r0.8,False,False,0.82,0.7814473045167557,385.94563923000135,100,0.8
finch_0_cpt_1_r0.2,False,True,0.85,0.7699033594109526,433.63920566000843,100,0.2
finch_0_cpt_1_r0.4,False,True,0.83,0.7292562509953815,377.96497500000885,100,0.4
finch_0_cpt_1_r0.6,False,True,0.84,0.75,329.91173268999324,100,0.6
finch_0_cpt_1_r0.8,False,True,0.85,0.7699033594109526,336.61307695000227,100,0.8
finch_1_cpt_0_r0.2,True,False,0.83,0.786833855799373,6871.915433689999,100,0.2
finch_1_cpt_0_r0.4,True,False,0.81,0.7617554858934169,6761.09068504,100,0.4
finch_1_cpt_0_r0.6,True,False,0.81,0.771607164322635,527.0929495299833,100,0.6
finch_1_cpt_0_r0.8,True,False,0.82,0.7814473045167557,529.2347746500219,100,0.8
finch_1_cpt_1_r0.2,True,True,0.81,0.6974040452301322,465.5636912099908,100,0.2
finch_1_cpt_1_r0.4,True,True,0.83,0.7292562509953815,502.29520413999126,100,0.4
finch_1_cpt_1_r0.6,True,True,0.81,0.670995670995671,493.48687122997035,100,0.6
finch_1_cpt_1_r0.8,True,True,0.84,0.75,524.8127603000194,100,0.8
